SETPOINT    RPM RODA 1        PWM RODA 1         RPM RODA 2        PWM RODA 2
500.00         386.00              30.76              148.00              44.95
500.00         357.00              30.10              148.00              49.42
500.00         316.00              32.23              207.00              52.67
500.00         289.00              34.15              281.00              54.76
500.00         260.00              36.45              349.00              56.02
500.00         260.00              38.08              349.00              58.50
500.00         297.00              38.81              833.00              44.61
500.00         443.00              36.23              857.00              40.67
500.00         503.00              35.93              849.00              35.73
500.00         511.00              36.12              830.00              31.17
500.00         503.00              36.33              793.00              27.44
500.00         503.00              36.25              793.00              22.96
500.00         352.00              40.80              529.00              27.42
500.00         428.00              38.51              488.00              27.38
500.00         523.00              36.76              444.00              28.87
500.00         569.00              35.89              414.00              30.54
500.00         580.00              35.37              385.00              32.67
500.00         580.00              34.84              385.00              34.27
500.00         500.00              36.65              147.00              43.90
500.00         458.00              37.32              162.00              47.75
500.00         452.00              37.51              206.00              51.35
500.00         473.00              37.20              266.00              53.87
500.00         509.00              36.48              337.00              55.19
500.00         509.00              36.67              337.00              57.87
500.00         595.00              34.00              863.00              42.75
500.00         535.00              35.73              863.00              39.32
500.00         503.00              35.98              849.00              34.41
500.00         467.00              36.81              830.00              29.82
500.00         438.00              37.67              793.00              26.09
500.00         438.00              37.93              793.00              21.61
500.00         595.00              33.66              476.00              27.84
500.00         606.00              33.76              458.00              27.62
500.00         583.00              33.73              424.00              29.31
500.00         556.00              33.73              385.00              31.61
500.00         527.00              33.98              355.00              34.17
500.00         527.00              33.56              355.00              36.21
500.00         264.00              41.31              147.00              45.29
500.00         355.00              38.41              162.00              49.25
500.00         434.00              37.81              227.00              52.14
500.00         495.00              37.06              288.00              54.40
500.00         539.00              36.22              367.00              55.13
500.00         539.00              36.25              367.00              57.39
500.00         617.00              33.59              852.00              43.20
500.00         591.00              34.06              872.00              39.11
500.00         551.00              34.38              866.00              33.87
500.00         517.00              34.71              850.00              28.96
500.00         485.00              35.30              817.00              24.82
500.00         485.00              35.18              817.00              20.00
500.00         238.00              42.77              535.00              24.70
500.00         357.00              39.34              491.00              24.61
500.00         474.00              37.79              454.00              25.81
500.00         556.00              36.38              415.00              27.66
500.00         598.00              35.28              385.00              29.77
500.00         598.00              34.84              385.00              31.36
500.00         595.00              34.18              148.00              40.97
500.00         562.00              34.43              147.00              45.34
500.00         523.00              34.88              187.00              49.23
500.00         489.00              35.45              229.00              52.62
