(RODA 2 COM O CIRCUITO DA RODA 1)
PWM    RPM R1    RPM R2    RPM R3
100PWM    RPM R1    RPM R2    RPM R3
40    719    0    0
40    740    0    0
40    755    0    0
40    754    0    0
40    782    0    0
40    787    0    0
40    792    0    0
40    810    0    0
40    812    0    0
40    825    0    0
40    836    0    0
40    840    0    0
40    848    0    0
40    857    0    0
40    867    0    0
40    875    0    0
40    883    0    0
40    888    0    0
40    894    0    0
40    898    0    0
40    906    0    0
40    911    0    0
40    918    0    0
40    922    0    0
40    928    0    0
40    932    0    0
40    936    0    0
40    0    0    0
40    1176    0    0
40    1102    0    0
40    1100    0    0
40    1082    0    0
40    1075    0    0
40    1085    0    0
40    1077    0    0
40    1090    0    0
40    1090    0    0
40    1079    0    0
